Airline,Airline_ID,Origin_Airport,Origin_Air_ID,Dest_Airport,Dest_Air_ID,Codeshare,Stops,Equipment
3E,10739,ORD,3830,BRL,5726,,0,CNC
3E,10739,ORD,3830,DEC,4042,,0,CNC
4B,20565,LAX,3484,LAS,3877,,0,PL2
4M,3201,JFK,3797,EZE,3988,Y,0,777
4O,17885,JFK,3797,MEX,1824,,0,320
9E,3976,JFK,3797,MSY,3861,,0,CR9
AA,24,JFK,3797,AMM,2170,Y,0,340 330
AA,24,JFK,3797,ANU,2874,,0,738
AA,24,JFK,3797,AUH,2179,Y,0,777
AA,24,JFK,3797,AUS,3673,,0,738
AA,24,JFK,3797,BCN,1218,,0,763
AA,24,JFK,3797,BDA,4069,,0,738
AA,24,JFK,3797,BNA,3690,Y,0,ER4
AA,24,JFK,3797,BOS,3448,,0,738
AA,24,JFK,3797,BWI,3849,Y,0,ER4
AA,24,JFK,3797,CCS,2851,,0,757 738
AA,24,JFK,3797,CDG,1382,,0,763 757
AA,24,JFK,3797,CLE,3486,Y,0,ER4
AA,24,JFK,3797,CLT,3876,,0,321 319
AA,24,JFK,3797,CMH,3759,Y,0,ER4 CR7
AA,24,JFK,3797,CUN,1852,,0,738
AA,24,JFK,3797,CVG,3488,Y,0,ER4
AA,24,JFK,3797,DCA,3520,,0,738
AA,24,JFK,3797,DFW,3670,,0,738 757
AA,24,JFK,3797,DOH,11051,,0,777
AA,24,JFK,3797,DUB,599,,0,757
AA,24,JFK,3797,DUS,345,Y,0,330
AA,24,JFK,3797,EZE,3988,,0,777
AA,24,JFK,3797,FCO,1555,,0,763
AA,24,JFK,3797,GIG,2560,,0,763
AA,24,JFK,3797,GRU,2564,,0,773 77W 777
AA,24,JFK,3797,GYE,2673,Y,0,763
AA,24,JFK,3797,HEL,421,Y,0,330
AA,24,JFK,3797,HKG,3077,Y,0,773
AA,24,JFK,3797,IND,3585,Y,0,ER4
AA,24,JFK,3797,LAS,3877,,0,738
AA,24,JFK,3797,LAX,3484,,0,32B 762
AA,24,JFK,3797,LCY,503,,0,318
AA,24,JFK,3797,LHR,507,,0,777 77W
AA,24,JFK,3797,LIM,2789,Y,0,763
AA,24,JFK,3797,MAD,1229,,0,330 757 340
AA,24,JFK,3797,MAN,478,,0,757
AA,24,JFK,3797,MCO,3878,,0,763 757
AA,24,JFK,3797,MIA,3576,,0,757 763 738
AA,24,JFK,3797,MXP,1524,,0,763
AA,24,JFK,3797,NRT,2279,,0,787 773
AA,24,JFK,3797,ORD,3830,,0,738
AA,24,JFK,3797,ORF,3611,Y,0,ER4
AA,24,JFK,3797,ORY,1386,Y,0,757
AA,24,JFK,3797,PAP,1897,,0,763
AA,24,JFK,3797,PHX,3462,,0,321
AA,24,JFK,3797,PIT,3570,Y,0,ER4
AA,24,JFK,3797,RDU,3626,Y,0,ERD CR7
AA,24,JFK,3797,SAN,3731,,0,738
AA,24,JFK,3797,SCL,2650,Y,0,787
AA,24,JFK,3797,SEA,3577,,0,738
AA,24,JFK,3797,SFO,3469,,0,32B 763
AA,24,JFK,3797,SJO,1885,,0,738
AA,24,JFK,3797,SJU,2890,,0,757
AA,24,JFK,3797,STT,2883,,0,757
AA,24,JFK,3797,SXM,2899,,0,757
AA,24,JFK,3797,TPA,3646,Y,0,CR7
AA,24,JFK,3797,TXL,351,Y,0,330
AA,24,JFK,3797,YUL,146,Y,0,ERD
AA,24,JFK,3797,YYC,178,,0,737
AA,24,JFK,3797,YYZ,193,Y,0,CR7
AA,24,JFK,3797,ZRH,1678,,0,763
AA,24,LAX,3484,ABQ,4019,Y,0,CRJ CR7
AA,24,LAX,3484,ANC,3774,Y,0,737
AA,24,LAX,3484,AUS,3673,,0,M83 738
AA,24,LAX,3484,BDL,3825,,0,738
AA,24,LAX,3484,BNA,3690,,0,738
AA,24,LAX,3484,BNE,3320,Y,0,744
AA,24,LAX,3484,BOS,3448,,0,757 738
AA,24,LAX,3484,CLT,3876,,0,321
AA,24,LAX,3484,CMH,3759,,0,738
AA,24,LAX,3484,DCA,3520,,0,738
AA,24,LAX,3484,DEN,3751,Y,0,CR7
AA,24,LAX,3484,DFW,3670,,0,738 763 757 M83
AA,24,LAX,3484,DUS,345,Y,0,330
AA,24,LAX,3484,ELP,3559,Y,0,CRJ
AA,24,LAX,3484,EUG,4099,Y,0,CRJ
AA,24,LAX,3484,FAT,3687,Y,0,CRJ
AA,24,LAX,3484,GDL,1804,Y,0,737
AA,24,LAX,3484,GRU,2564,,0,777
AA,24,LAX,3484,HKG,3077,Y,0,773
AA,24,LAX,3484,HNL,3728,,0,757
AA,24,LAX,3484,IAD,3714,,0,738
AA,24,LAX,3484,IAH,3550,Y,0,CR7
AA,24,LAX,3484,IND,3585,,0,738
AA,24,LAX,3484,JFK,3797,,0,32B 762
AA,24,LAX,3484,KOA,3514,,0,757
AA,24,LAX,3484,LAS,3877,,0,738
AA,24,LAX,3484,LHR,507,,0,77W
AA,24,LAX,3484,LIH,3602,,0,757
AA,24,LAX,3484,LIM,2789,Y,0,763
AA,24,LAX,3484,MAD,1229,Y,0,340
AA,24,LAX,3484,MCO,3878,,0,757 738
AA,24,LAX,3484,MEL,3339,Y,0,380
AA,24,LAX,3484,MEX,1824,Y,0,737
AA,24,LAX,3484,MFR,4101,Y,0,DH4
AA,24,LAX,3484,MIA,3576,,0,757 777 763 738
AA,24,LAX,3484,MMH,7081,Y,0,DH4
AA,24,LAX,3484,MRY,3948,Y,0,CRJ
AA,24,LAX,3484,NAN,1960,Y,0,330
AA,24,LAX,3484,NRT,2279,,0,777 773
AA,24,LAX,3484,OGG,3456,,0,757
AA,24,LAX,3484,OKC,3863,Y,0,CR7
AA,24,LAX,3484,ORD,3830,,0,738
AA,24,LAX,3484,PBI,3722,,0,738
AA,24,LAX,3484,PDX,3720,Y,0,737
AA,24,LAX,3484,PHL,3752,,0,321 320
AA,24,LAX,3484,PHX,3462,,0,321 319 320
AA,24,LAX,3484,PIT,3570,,0,738
AA,24,LAX,3484,PPT,4075,Y,0,340
AA,24,LAX,3484,PVG,3406,,0,777
AA,24,LAX,3484,RDM,4103,Y,0,CRJ
AA,24,LAX,3484,RDU,3626,,0,738
AA,24,LAX,3484,RNO,3807,Y,0,CRJ
AA,24,LAX,3484,SAF,3784,Y,0,CRJ
AA,24,LAX,3484,SAN,3731,Y,0,CRJ CR7
AA,24,LAX,3484,SEA,3577,Y,0,737
AA,24,LAX,3484,SFO,3469,,0,738
AA,24,LAX,3484,SJC,3748,Y,0,CR7 CRJ
AA,24,LAX,3484,SJD,1840,,0,M83 738
AA,24,LAX,3484,SLC,3536,Y,0,CRJ CR7
AA,24,LAX,3484,SMF,3817,Y,0,CRJ
AA,24,LAX,3484,STL,3678,,0,M83
AA,24,LAX,3484,STS,6992,Y,0,DH4
AA,24,LAX,3484,SYD,3361,Y,0,380 744
AA,24,LAX,3484,TUS,3636,Y,0,CRJ
AA,24,LAX,3484,XNA,4356,Y,0,CR7
AA,24,LAX,3484,YEG,49,,0,737
AA,24,LAX,3484,YVR,156,,0,737
AA,24,LAX,3484,YYC,178,,0,737
AA,24,LAX,3484,YYZ,193,,0,738
AA,24,ORD,3830,ABQ,4019,Y,0,E75
AA,24,ORD,3830,ALO,5718,Y,0,ERD
AA,24,ORD,3830,AMM,2170,Y,0,340
AA,24,ORD,3830,ART,3838,Y,0,ERD
AA,24,ORD,3830,ATL,3682,Y,0,E75 CR7
AA,24,ORD,3830,AUH,2179,Y,0,777
AA,24,ORD,3830,AUS,3673,,0,M80 M83
AA,24,ORD,3830,AZO,4039,Y,0,ER4 ERD
AA,24,ORD,3830,BDL,3825,Y,0,ER4 E75
AA,24,ORD,3830,BMI,4037,Y,0,ER4 ERD
AA,24,ORD,3830,BNA,3690,Y,0,ER4 ERD CR7 E75
AA,24,ORD,3830,BOS,3448,,0,738
AA,24,ORD,3830,BUF,3820,Y,0,ER4 CR7 E75
AA,24,ORD,3830,BWI,3849,Y,0,E75 ER4 CR7
AA,24,ORD,3830,CDG,1382,,0,763
AA,24,ORD,3830,CHA,3578,Y,0,ER4 ERD
AA,24,ORD,3830,CHO,4015,Y,0,CRJ
AA,24,ORD,3830,CID,4043,Y,0,ER4
AA,24,ORD,3830,CLE,3486,Y,0,ER4 CR7 ERD
AA,24,ORD,3830,CLT,3876,,0,321 320 E90 319
AA,24,ORD,3830,CMH,3759,Y,0,ER4 CR7 ERD
AA,24,ORD,3830,CMI,4049,Y,0,ER4 ERD
AA,24,ORD,3830,COU,3719,Y,0,ER4 ERD
AA,24,ORD,3830,CUN,1852,,0,738
AA,24,ORD,3830,CVG,3488,Y,0,ER4
AA,24,ORD,3830,CWA,4045,Y,0,ERD ER4
AA,24,ORD,3830,DAY,3627,Y,0,ER4
AA,24,ORD,3830,DBQ,4388,Y,0,ERD ER4
AA,24,ORD,3830,DCA,3520,,0,738 M83 M80
AA,24,ORD,3830,DEN,3751,,0,M80 M83
AA,24,ORD,3830,DFW,3670,,0,M80 M83 738
AA,24,ORD,3830,DOH,11051,,0,777
AA,24,ORD,3830,DSM,3729,Y,0,ERD ER4 E75
AA,24,ORD,3830,DTW,3645,Y,0,ERD E75 ER4 CR7
AA,24,ORD,3830,DUB,599,,0,763
AA,24,ORD,3830,DUS,345,,0,763
AA,24,ORD,3830,ELP,3559,Y,0,E75
AA,24,ORD,3830,EVV,4018,Y,0,ER4 ERD
AA,24,ORD,3830,EWR,3494,Y,0,CR7 E75
AA,24,ORD,3830,FAR,4292,Y,0,ER4
AA,24,ORD,3830,FCO,1555,,0,763
AA,24,ORD,3830,FLL,3533,,0,738
AA,24,ORD,3830,FNT,4089,Y,0,ER4 ERD
AA,24,ORD,3830,FSD,4009,Y,0,ER4 ERD
AA,24,ORD,3830,FWA,4041,Y,0,ERD ER4
AA,24,ORD,3830,GRB,3653,Y,0,ER4
AA,24,ORD,3830,GRR,3685,Y,0,ER4 ERD
AA,24,ORD,3830,HKG,3077,Y,0,773
AA,24,ORD,3830,HPN,3589,Y,0,ERD
AA,24,ORD,3830,HSV,4113,Y,0,ER4
AA,24,ORD,3830,IAH,3550,Y,0,CR7
AA,24,ORD,3830,ICT,3457,Y,0,CRJ
AA,24,ORD,3830,IND,3585,Y,0,ER4 ERD E75 CR7
AA,24,ORD,3830,JAX,3712,Y,0,ER4 CR7
AA,24,ORD,3830,JFK,3797,,0,738
AA,24,ORD,3830,LAS,3877,,0,M83 738
AA,24,ORD,3830,LAX,3484,,0,738
AA,24,ORD,3830,LEX,4017,Y,0,ERD ER4
AA,24,ORD,3830,LGA,3697,,0,738
AA,24,ORD,3830,LHR,507,,0,763 777
AA,24,ORD,3830,LIT,3660,Y,0,ER4 CR7
AA,24,ORD,3830,LSE,4044,Y,0,ER4 ERD
AA,24,ORD,3830,MAD,1229,,0,330
AA,24,ORD,3830,MAN,478,,0,763
AA,24,ORD,3830,MBJ,1780,,0,738
AA,24,ORD,3830,MCI,3458,Y,0,ER4 CR7 E75 ERD
AA,24,ORD,3830,MCO,3878,,0,738 M83 M80
AA,24,ORD,3830,MDT,3542,Y,0,ERD CR7
AA,24,ORD,3830,MEM,3473,Y,0,CR7 ER4 ERD
AA,24,ORD,3830,MEX,1824,,0,738
AA,24,ORD,3830,MHK,4050,Y,0,ERD ER4
AA,24,ORD,3830,MIA,3576,,0,738 763
AA,24,ORD,3830,MKE,3717,Y,0,CRJ
AA,24,ORD,3830,MLI,4072,Y,0,ERD ER4
AA,24,ORD,3830,MQT,3675,Y,0,ER4
AA,24,ORD,3830,MSN,3459,Y,0,ER4 ERD
AA,24,ORD,3830,MSP,3858,Y,0,E75 CR7
AA,24,ORD,3830,MSY,3861,Y,0,E75
AA,24,ORD,3830,NRT,2279,,0,773 777
AA,24,ORD,3830,OKC,3863,Y,0,ER4 CR7
AA,24,ORD,3830,OMA,3454,Y,0,E75 ER4 CR7
AA,24,ORD,3830,PBI,3722,,0,M83 738 M80
AA,24,ORD,3830,PDX,3720,,0,738
AA,24,ORD,3830,PEK,3364,,0,777
AA,24,ORD,3830,PHL,3752,,0,320 321 319 E90
AA,24,ORD,3830,PHX,3462,,0,321 738 M83 320 M80
AA,24,ORD,3830,PIA,4046,Y,0,ER4 ERD
AA,24,ORD,3830,PIT,3570,Y,0,E75 CR7 ER4
AA,24,ORD,3830,PSP,3839,,0,M83
AA,24,ORD,3830,PVG,3406,,0,777
AA,24,ORD,3830,PVR,1836,,0,M83
AA,24,ORD,3830,RDU,3626,,0,738 M80 M83
AA,24,ORD,3830,RIC,3608,Y,0,ERD
AA,24,ORD,3830,RNO,3807,,0,738
AA,24,ORD,3830,ROC,3622,Y,0,ERD ER4
AA,24,ORD,3830,RST,4048,Y,0,ERD ER4
AA,24,ORD,3830,RSW,3793,,0,M80 738
AA,24,ORD,3830,SAN,3731,,0,738
AA,24,ORD,3830,SAT,3621,Y,0,CR7 E75
AA,24,ORD,3830,SDF,4014,Y,0,ERD ER4 E75
AA,24,ORD,3830,SEA,3577,,0,738
AA,24,ORD,3830,SFO,3469,,0,738
AA,24,ORD,3830,SGF,4348,Y,0,ERD ER4
AA,24,ORD,3830,SJC,3748,,0,738
AA,24,ORD,3830,SJD,1840,,0,M83 738
AA,24,ORD,3830,SJU,2890,,0,738
AA,24,ORD,3830,SLC,3536,Y,0,E75 CR7
AA,24,ORD,3830,SNA,3867,,0,738
AA,24,ORD,3830,STL,3678,,0,M80 M83 738
AA,24,ORD,3830,SUX,3753,Y,0,ER4 ERD
AA,24,ORD,3830,SYR,3745,Y,0,CR7 ER4
AA,24,ORD,3830,TOL,4040,Y,0,ERD ER4
AA,24,ORD,3830,TPA,3646,,0,M83 738 M80
AA,24,ORD,3830,TUL,3855,,0,738
AA,24,ORD,3830,TUS,3636,,0,M83 M80
AA,24,ORD,3830,TVC,4023,Y,0,ERD ER4
AA,24,ORD,3830,TXL,351,Y,0,330
AA,24,ORD,3830,TYS,3676,Y,0,ERD ER4
AA,24,ORD,3830,XNA,4356,Y,0,ER4 CR7 ERD
AA,24,ORD,3830,YKF,79,Y,0,ER4 ERD
AA,24,ORD,3830,YUL,146,Y,0,CRJ
AA,24,ORD,3830,YVR,156,,0,737
AA,24,ORD,3830,YYC,178,,0,737
AA,24,ORD,3830,YYZ,193,Y,0,CR7 E75 ER4
AB,214,JFK,3797,DUS,345,,0,332
AB,214,JFK,3797,TXL,351,,0,332
AB,214,LAX,3484,DUS,345,,0,332
AB,214,ORD,3830,DUS,345,Y,0,763
AB,214,ORD,3830,TXL,351,,0,332
AC,330,JFK,3797,YYZ,193,Y,0,CRA
AC,330,LAX,3484,YLW,87,Y,0,CR7
AC,330,LAX,3484,YUL,146,,0,319
AC,330,LAX,3484,YVR,156,,0,319
AC,330,LAX,3484,YYC,178,,0,319
AC,330,LAX,3484,YYZ,193,,0,320 321
AC,330,ORD,3830,MSY,3861,Y,0,320 CR7 ERJ 319
AC,330,ORD,3830,YEG,49,Y,0,E70 CR7
AC,330,ORD,3830,YHZ,73,Y,0,ERJ
AC,330,ORD,3830,YOW,100,Y,0,ERJ E70
AC,330,ORD,3830,YQB,111,Y,0,ERJ
AC,330,ORD,3830,YQR,120,Y,0,CRJ
AC,330,ORD,3830,YUL,146,,0,E75
AC,330,ORD,3830,YVR,156,Y,0,319 320 739 737 738
AC,330,ORD,3830,YWG,160,Y,0,ERJ CRJ
AC,330,ORD,3830,YXU,174,Y,0,CRJ
AC,330,ORD,3830,YYC,178,Y,0,CR7 737
AC,330,ORD,3830,YYZ,193,,0,E75
AF,137,JFK,3797,ATL,3682,Y,0,319 738 752
AF,137,JFK,3797,BCN,1218,Y,0,333
AF,137,JFK,3797,BRU,302,,0,76W
AF,137,JFK,3797,CDG,1382,,0,332 772 388 343
AF,137,JFK,3797,DUB,599,Y,0,752
AF,137,JFK,3797,FRA,340,Y,0,76W
AF,137,JFK,3797,LHR,507,Y,0,764 76W
AF,137,JFK,3797,MAD,1229,Y,0,764
AF,137,JFK,3797,MSY,3861,Y,0,CR9
AF,137,JFK,3797,NCE,1354,Y,0,764
AF,137,JFK,3797,PAP,1897,Y,0,738
AF,137,LAX,3484,ATL,3682,Y,0,763 757 76W
AF,137,LAX,3484,CDG,1382,,0,388 772
AF,137,LAX,3484,MSP,3858,Y,0,757
AF,137,LAX,3484,OGG,3456,Y,0,757
AF,137,LAX,3484,PPT,4075,,0,772
AF,137,ORD,3830,ATL,3682,Y,0,717 M88
AF,137,ORD,3830,CDG,1382,,0,332
AI,218,JFK,3797,DEL,3093,,0,77W
AI,218,JFK,3797,LHR,507,Y,0,772
AI,218,LAX,3484,NRT,2279,Y,0,388
AI,218,ORD,3830,DEL,3093,,0,77W
AM,321,JFK,3797,ATL,3682,Y,0,752 319 757 738
AM,321,JFK,3797,CUN,1852,,0,738
AM,321,JFK,3797,MEX,1824,,0,738 787
AM,321,LAX,3484,CUN,1852,,0,738
AM,321,LAX,3484,GDL,1804,,0,738
AM,321,LAX,3484,HMO,1807,Y,0,ERJ
AM,321,LAX,3484,MEX,1824,,0,737
AM,321,LAX,3484,MZT,1826,Y,0,739
AM,321,LAX,3484,PVR,1836,Y,0,739 320 73H
AM,321,LAX,3484,SJD,1840,Y,0,73J 734
AM,321,LAX,3484,ZIH,1856,Y,0,739
AM,321,LAX,3484,ZLO,1858,Y,0,73H
AM,321,ORD,3830,GDL,1804,,0,737
AM,321,ORD,3830,MEX,1824,,0,737
AR,412,JFK,3797,EZE,3988,,0,330
AS,439,JFK,3797,LAX,3484,Y,0,321 762
AS,439,JFK,3797,SAN,3731,Y,0,757 73H
AS,439,JFK,3797,SEA,3577,Y,0,738
AS,439,JFK,3797,SFO,3469,Y,0,321 763
AS,439,LAX,3484,ABQ,4019,Y,0,CRJ CR7
AS,439,LAX,3484,ANC,3774,,0,73G 739
AS,439,LAX,3484,ATL,3682,Y,0,763 757 73H 76W
AS,439,LAX,3484,AUS,3673,Y,0,M83 738
AS,439,LAX,3484,BDL,3825,Y,0,738
AS,439,LAX,3484,BNA,3690,Y,0,738
AS,439,LAX,3484,BOS,3448,Y,0,757 738
AS,439,LAX,3484,CMH,3759,Y,0,738
AS,439,LAX,3484,DCA,3520,,0,73H
AS,439,LAX,3484,DEN,3751,Y,0,CR7
AS,439,LAX,3484,DFW,3670,Y,0,738 763 757 M83
AS,439,LAX,3484,ELP,3559,Y,0,CRJ
AS,439,LAX,3484,FAT,3687,Y,0,CRJ
AS,439,LAX,3484,GDL,1804,,0,73H
AS,439,LAX,3484,HNL,3728,Y,0,757 753
AS,439,LAX,3484,IAH,3550,Y,0,CR7
AS,439,LAX,3484,IND,3585,Y,0,738
AS,439,LAX,3484,JFK,3797,Y,0,321 762
AS,439,LAX,3484,KOA,3514,Y,0,757
AS,439,LAX,3484,LIH,3602,Y,0,757
AS,439,LAX,3484,LTO,1817,Y,0,DH4
AS,439,LAX,3484,MCO,3878,Y,0,757 738
AS,439,LAX,3484,MEX,1824,,0,73H
AS,439,LAX,3484,MFR,4101,Y,0,DH4
AS,439,LAX,3484,MIA,3576,Y,0,757 777 763 738
AS,439,LAX,3484,MMH,7081,Y,0,DH4
AS,439,LAX,3484,MRY,3948,Y,0,CRJ
AS,439,LAX,3484,MSY,3861,Y,0,319
AS,439,LAX,3484,MZT,1826,,0,739
AS,439,LAX,3484,OGG,3456,Y,0,757
AS,439,LAX,3484,OKC,3863,Y,0,CR7
AS,439,LAX,3484,ORD,3830,Y,0,738
AS,439,LAX,3484,PDX,3720,,0,73J 73H 734 739 73G
AS,439,LAX,3484,PHX,3462,Y,0,CRJ
AS,439,LAX,3484,PIT,3570,Y,0,738
AS,439,LAX,3484,PVR,1836,,0,739 73H
AS,439,LAX,3484,RDU,3626,Y,0,738
AS,439,LAX,3484,RNO,3807,Y,0,CRJ
AS,439,LAX,3484,SAF,3784,Y,0,CRJ
AS,439,LAX,3484,SAN,3731,Y,0,CRJ CR7
AS,439,LAX,3484,SEA,3577,,0,73H 734 739 73J 73G
AS,439,LAX,3484,SFO,3469,Y,0,738
AS,439,LAX,3484,SJD,1840,,0,73J 734
AS,439,LAX,3484,SMF,3817,Y,0,CRJ
AS,439,LAX,3484,STL,3678,Y,0,M83
AS,439,LAX,3484,STS,6992,Y,0,DH4
AS,439,LAX,3484,TUS,3636,Y,0,CRJ
AS,439,LAX,3484,YVR,156,,0,734 739 73J
AS,439,LAX,3484,ZIH,1856,,0,739
AS,439,LAX,3484,ZLO,1858,,0,73H
AS,439,ORD,3830,ANC,3774,,0,73H
AS,439,ORD,3830,LAX,3484,Y,0,738
AS,439,ORD,3830,MSY,3861,Y,0,E75
AS,439,ORD,3830,PDX,3720,,0,73G
AS,439,ORD,3830,SAN,3731,Y,0,738
AS,439,ORD,3830,SEA,3577,,0,73H 739 73J
AS,439,ORD,3830,SFO,3469,Y,0,738
AT,4248,JFK,3797,CMN,1074,,0,763
AV,515,JFK,3797,BOG,2709,,0,319 330
AV,515,JFK,3797,MDE,2745,,0,319
AV,515,JFK,3797,SAL,1892,,0,320 321
AV,515,JFK,3797,SAP,1772,,0,320
AV,515,LAX,3484,GUA,1767,,0,320
